qid	query
1	Chemical Analyses of Sediments
2	Radiation Measurement Studies Worldwide
3	Polarstern Radiosonde Data Collection
4	Coastal Tide Gauge Measurements
5	Land Use Planning Changes
6	Water Temperature Analysis and Monitoring
7	Coastal Tide Gauge Records
8	Coastal Sea Level Trends
9	Radiosonde Measurement Overview
10	Historical Sea Level Data
11	Heat Flow and Thermal Analysis
12	Sediment Core Geochemistry Studies
13	Meteorological Observation Records
14	Oceanographic Studies and Research
15	Water Nutrient Analysis Studies
16	Radiolaria Sediment Distribution Analysis
17	Arctic Meteorological and Radiation Studies
18	Marine Investigations Overview
19	Gulf Oceanography Measurements
20	Oceanographic CO2 Measurement Studies
21	Coastal Tide Gauge Research
22	CMIP6 Climate Model Outputs
23	Urban Development Overview Plans
24	Phytoplankton Abundance Studies
25	Coastal Sea Level Monitoring
26	Seabed Benthos Photography Analysis
27	Hydrochemistry and Water Samples
28	Stable Isotope Analysis Techniques
29	Baltic Sea Monitoring Activities
30	Chlorophyll and Pigment Analysis
31	Quercus Tree-Ring Analysis
32	Organic Carbon Dynamics Studies
33	Cold-Water Coral Ecosystem Studies
34	Oceanographic Measurements and Cruises
35	Sea Surface Temperature Studies
36	Physical Oceanography CTD Data
37	Ozone Measurement Overview
38	Current Meter Data Analysis
39	ROV Hydrographic Survey Data
40	Polarstern Radiosonde Data Archive
41	Liquid Water Measurement Techniques
42	Lubmin Sea Level Data Analysis
43	Climate Change Scenario Analysis
44	Sediment Core Analysis Insights
45	Biogeochemical Sediment Analysis
46	Marine Hydrocarbon Monitoring Programs
47	Physical Oceanography Research Cruises
48	Nannofossil Abundance and Biostratigraphy
49	Oxygen Dynamics in Aquatic Systems
50	Offshore Wind Energy Potential Analysis
51	Conservation and Biodiversity Management
52	Marine Meteorological Investigations
53	Baltic Marine Monitoring Program
54	Tree-Ring Analysis Studies
55	Oceanographic Carbon Measurement Analysis
56	Sediment Core Analysis Documentation
57	Antarctic Ice Research Dynamics
58	Tree-Ring Analysis of Larch
59	Microalgae Research in Heiligendamm
60	Sea Ice Measurement Techniques
61	Spruce Tree-Ring Analysis
62	Boulder SURFRAD Radiation Analysis
63	Sediment Color Analysis Techniques
64	Underway Oceanographic Measurements Cruise
65	IODP Visual Core Summaries
66	Arkona Sea Level Measurements
67	Gedser Sea Level Data
68	Station Measurement Analysis Techniques
69	Marine Investigations Campaigns Overview
70	Baltic Sea Monitoring Cruises
71	Baltic Marine Monitoring Cruises
72	Zooplankton Abundance Research
73	Coastal Sea Level Research
74	Indian Ocean Hydrochemistry Studies
75	Soil Moisture and Temperature Analysis
76	Bacterial Dynamics and Abundance
77	Regional Development Plans Overview
78	Fisheries and Oceanography in Peru
79	Coastal Sea Level Variations
80	Tateno Meteorological Observations Data
81	Baltic Marine Investigations Overview
82	Acoustic Profiling and Data Collection
83	Light Intensity Observations Overview
84	Polychlorbiphenyls in Marine Environments
85	Total Sky Imaging Observations
86	Environmental Quality and Measurement
87	Scots Pine Tree-Ring Studies
88	Bondville Radiation Measurements Series
89	Trace Metal Analysis and Composition
90	Sea Level Data Overview
91	Tree-Ring Measurements of Larch
92	Tree-Ring Analysis of Pines
93	Surface Drifter Data Analysis
94	Magnetic Susceptibility Analysis Studies
95	Particulate Matter Concentration Studies
96	Polar Flight Data Analysis
97	Sediment Chemical Composition Analysis
98	Aegean Sea Nutrient Dynamics
99	Sea Ice Surface Characteristics
100	Porewater Geochemistry Studies
101	Sediment Enzyme Activity Studies
102	Baltic Marine Environmental Monitoring
103	Paleomagnetic Analysis and Studies
104	Urban Development and Planning Analysis
105	Sediment Core Physical Properties
106	Oceanography and Carbon Dynamics
107	Foraminifera Counts Analysis
108	Polarstern Atmospheric Observations
109	Radiation Measurements Overview
110	Tree-Ring Width Analysis Overview
111	Tree-Ring Analysis of Spruce
112	Solar Irradiance Under Ice
113	Flood Management and Risk Assessment
114	Oceanographic Dataset Collection Methods
115	Paleontological Investigations and Profiles
116	Tree-Ring Analysis in Pinus
117	Southern Great Plains Radiosonde Data
118	Real-Time Water Temperature Data
119	Marine Investigations MESODYN Campaign
120	ODP Core Hole Summaries
121	Silver Fir Tree-Ring Analysis
122	Moisture and Density Analysis
123	Polar Flight Data Overview
124	Marine Investigations in Pommersche Bucht
125	P-wave Velocity Measurements Analysis
126	Digital Analysis of Polynya Areas
127	Solar Irradiance Measurement Overview
128	Radiosonde Data Collection Cruise
129	Meiofauna and Biomass Dynamics
130	Glacier Mass Balance Analysis
131	Methane and Sediment Dynamics
132	Mesozooplankton Abundance Research
133	Goodwin Creek UV Radiation Studies
